"Feature","Gain","Cover","Frequency"
"starter_S2_grades_defense_12w",0.000980106480857091,0.00184764659652593,0.00448833034111311
"prev_iform_rate",0.00097172718485957,0.00111648123902096,0.00448833034111311
"starter_LB1_grades_defense_12w",0.000969511227889915,0.00180756265060591,0.00448833034111311
"starter_RB_grades_run_12w",0.000949272955664827,0.00143260457928806,0.00493716337522442
"starter_DL4_grades_defense_12w",0.00092896255464145,0.0044036454122624,0.00448833034111311
"starter_WR2_short_grades_pass_route_12w",0.000918854571778271,0.00335497588604216,0.00359066427289048
"starter_OL1_grades_pass_block_12w",0.000917475308868768,0.00151062704812187,0.0040394973070018
"starter_WR3_deep_grades_pass_route_12w",0.000914465334044616,0.00166115868851943,0.00448833034111311
"avg_pass_rushers",0.000895861046244469,0.0015974867028903,0.00448833034111311
"starter_WR3_grades_run_block_12w",0.000878905836488167,0.00087463331713519,0.0040394973070018
"starter_QB_short_grades_pass_12w",0.000867170748150253,0.0011845274691007,0.00448833034111311
"starter_WR2_grades_run_block_12w",0.000857184983528619,0.00433423787869521,0.0040394973070018
"starter_OL2_grades_run_block_12w",0.000848975791280396,0.000412249730105791,0.00448833034111311
"spread_line",0.000818052439019893,0.0013411239687625,0.00538599640933573
"yardline_51_60",0.000812681581770265,0.00141170067730041,0.00224416517055655
"starter_LB4_grades_defense_12w",0.000797531996264462,0.000268311393122848,0.00493716337522442
"week",0.000780981509209669,0.00122612122434316,0.00314183123877917
"down2_pct",0.000777508908287602,0.000782839218485805,0.00314183123877917
"prev_singleback_rate",0.000769494864510306,0.0012748473969247,0.00359066427289048
"starter_OL4_grades_pass_block_12w",0.000758227811930178,0.000691169382783395,0.00359066427289048
"prev_empty_success",0.000754256186581431,0.00120501677415312,0.0040394973070018
"starter_WR1_medium_grades_pass_route_12w",0.000723750647063609,0.000895747420930344,0.00359066427289048
"starter_S1_grades_defense_12w",0.000718673781452933,0.00136447683794112,0.00493716337522442
"two_man_rate",0.000718601051581325,0.00275425918629889,0.00314183123877917
"shotgun_rate",0.000717717607374134,0.000259917438313046,0.00314183123877917
"starter_DL2_grades_defense_12w",0.000706113285876081,0.000472222280056526,0.00448833034111311
"starter_OL4_grades_run_block_12w",0.000652268937595612,0.000820733247715886,0.00314183123877917
"starter_WR2_medium_grades_pass_route_12w",0.000651461963271792,0.00247003063147898,0.00314183123877917
"prev_shotgun_success",0.000648817908527107,0.00150671363629412,0.00314183123877917
"starter_RB_medium_grades_pass_route_12w",0.000620751123822544,0.000612276565236288,0.00359066427289048
"starter_QB_deep_grades_pass_12w",0.000604792226485569,0.00118385186191002,0.00269299820466786
"starter_CB1_grades_defense_12w",0.000598626483164427,0.000399873372854286,0.00314183123877917
"starter_OL5_grades_pass_block_12w",0.00059406847739996,0.000816397472518723,0.00269299820466786
"starter_TE1_medium_grades_pass_route_12w",0.000592514769656077,0.000224078356760114,0.00269299820466786
"season_2021",0.000580846266884732,0.00370122529709998,0.00179533213644524
"prev_shotgun_rate",0.000574610598700804,0.000690762261948359,0.00314183123877917
"starter_TE1_deep_grades_pass_route_12w",0.000570282937589392,0.00137360058352216,0.00269299820466786
"down1_pct",0.000567542777899579,0.00104725864820429,0.00269299820466786
"starter_RB_grades_pass_block_12w",0.000545588775278155,0.000252708862739683,0.00359066427289048
"starter_OL3_grades_pass_block_12w",0.000541282151732911,0.000539829271103777,0.00224416517055655
"starter_QB_medium_grades_pass_12w",0.000537987602085139,0.00169292456567583,0.00269299820466786
"starter_DL3_grades_defense_12w",0.000524980108316669,0.000412256806996755,0.00269299820466786
"k_player_25_field_goals_grades_grades_fgep_kicker_12w",0.000496532510271509,0.00054854393609536,0.00179533213644524
"starter_RB_short_grades_pass_route_12w",0.000470860201312366,0.000111093116006378,0.00179533213644524
"starter_LB2_grades_defense_12w",0.00043666751109053,5.85830931393614e-05,0.00224416517055655
"starter_WR3_short_grades_pass_route_12w",0.000418415318683513,0.000473797196775837,0.00224416517055655
"prev_win_pct",0.000414496253857222,0.000319227482394322,0.00179533213644524
"attendance_raw",0.000406467851106192,0.000276698851709663,0.00224416517055655
"prevent_rate",0.000392896450385544,0.00113879093817976,0.00179533213644524
"prev_iform_success",0.000391992369327731,0.000657495140322168,0.00179533213644524
"cover4_rate",0.000347237852493853,0.000168937254707997,0.00179533213644524
"overall_win_pct",0.000335624114180468,0.000183621476832173,0.00134649910233393
"starter_OL2_grades_pass_block_12w",0.000296069816559525,0.000180267466016308,0.00134649910233393
"starter_TE1_short_grades_pass_route_12w",0.000294127214378201,0.000308267592088036,0.00179533213644524
"def_stop_rate_run",0.000272921965451051,0.000357225560067446,0.00134649910233393
"cover6_rate",0.000265420720697331,0.000159396244748207,0.00134649910233393
"wind",0.000250746717758764,0.00056419246626979,0.00134649910233393
"attendance_pct",0.000216214020396105,0.000232418000968237,0.00134649910233393
"yardline_11_20",0.000169386535256588,9.31673602679754e-05,0.000897666068222621
"starter_RB_deep_grades_pass_route_12w",0.000113580433930989,0.000125414783562715,0.000448833034111311
"defteam_timeouts_remaining",9.19647020163546e-05,8.827222942362e-05,0.000448833034111311
"defteam_prev_game_off_4th_fail",6.70336542055989e-05,3.18078712459216e-05,0.000448833034111311
"defteam_prev_game_off_4th_success",3.08588996693931e-05,3.32929613511464e-06,0.000448833034111311
