"Feature","Gain","Cover","Frequency"
"starter_S3_zone_grades_coverage_defense_12w",0.00152417421260947,0.00228636963682937,0.00554446662231093
"starter_S1_grades_run_defense_12w",0.00151051843839863,0.00120526776348527,0.00554446662231093
"starter_WR2_grades_offense_12w",0.00150241220159742,0.00113344365849138,0.00465735196274118
"prev_shotgun_success",0.0015002202336464,0.00234832992702781,0.0053226879574185
"starter_RB_grades_run_12w",0.00148090297918194,0.00133790831759936,0.00465735196274118
"yardline_21_30",0.00146273978295817,0.00132839885160425,0.00399201596806387
"down2_pct",0.00144545333812174,0.000950536099535044,0.00576624528720337
"starter_S3_grades_run_defense_12w",0.00142975225808725,0.00141767123106055,0.00465735196274118
"two_man_rate",0.00141386040095969,0.0025925524315113,0.00421379463295631
"cover4_rate",0.0014082501048042,0.00179309810238005,0.00421379463295631
"starter_CB3_grades_run_defense_12w",0.00139127595455256,0.00101982732515557,0.0053226879574185
"starter_QB_grades_pass_12w",0.00138839604368811,0.00259792021381473,0.00598802395209581
"shotgun_rate",0.00136718139828499,0.0014652847271506,0.00554446662231093
"starter_LB2_zone_grades_coverage_defense_12w",0.00136488321438207,0.00234545732741685,0.00510090929252606
"prev_stop_rate_run",0.00132617479275199,0.0035153291453511,0.0053226879574185
"team_win_pct",0.00131799079549399,0.00158335557036574,0.00443557329784875
"starter_LB3_man_grades_coverage_defense_12w",0.00131191438401123,0.00150375503395087,0.00554446662231093
"starter_DL1_grades_pass_rush_defense_12w",0.00131014799572934,0.00215840752213181,0.00487913062763362
"avg_box_defenders",0.00130487701793074,0.00182109807166853,0.00510090929252606
"prev_iform_rate",0.00129777083966237,0.0012649099891277,0.00443557329784875
"singleback_rate",0.00129627540496293,0.00492419701988688,0.00465735196274118
"starter_OL5_grades_offense_12w",0.00129070403377718,0.00151394517822264,0.00554446662231093
"starter_CB2_man_grades_coverage_defense_12w",0.00128229802996764,0.00164369445317644,0.00510090929252606
"starter_CB1_zone_grades_coverage_defense_12w",0.00127320524651963,0.000897719448735997,0.00487913062763362
"starter_CB1_man_grades_coverage_defense_12w",0.00126960482104293,0.000744724374854252,0.00554446662231093
"prev_singleback_rate",0.00126187691705103,0.00113947141402884,0.0053226879574185
"def_stop_rate_run",0.00125918214587023,0.000889075093435385,0.00487913062763362
"avg_pass_rushers",0.00120728370742583,0.00105903817481231,0.00510090929252606
"starter_LB1_grades_run_defense_12w",0.00119505634538032,0.00161876614447948,0.00510090929252606
"starter_CB2_grades_run_defense_12w",0.00116062027473902,0.00160097353615584,0.00399201596806387
"starter_DL2_grades_pass_rush_defense_12w",0.00115400580384699,0.00165241791524321,0.00465735196274118
"starter_DL3_grades_pass_rush_defense_12w",0.00112523765621293,0.000930482027940424,0.00443557329784875
"starter_CB2_zone_grades_coverage_defense_12w",0.00111893064784048,0.000884493483851395,0.00421379463295631
"starter_OL1_grades_offense_12w",0.00111429258110154,0.00241385193466931,0.00443557329784875
"starter_WR1_grades_offense_12w",0.00110610554143212,0.000933921596884659,0.00421379463295631
"Matt_LaFleur",0.00109260788313283,0.00337489696861628,0.00266134397870925
"starter_CB1_grades_run_defense_12w",0.00107287417623352,0.00134884946977631,0.00465735196274118
"starter_LB1_man_grades_coverage_defense_12w",0.00106170888422438,0.00101087644520202,0.00465735196274118
"starter_LB3_grades_run_defense_12w",0.00105548921095644,0.00119878607239349,0.00421379463295631
"starter_DL4_grades_run_defense_12w",0.00102249148505897,0.00116483441609375,0.00465735196274118
"p_player_26_punting_grades_grades_punter_12w",0.00101344755915918,0.0010791635887821,0.00421379463295631
"week",0.001002983006088,0.00113393664105545,0.00377023730317144
"starter_LB2_grades_run_defense_12w",0.000982679204976735,0.00104750546606394,0.003548458638279
"starter_LB4_grades_run_defense_12w",0.000963291617118676,0.00128064537142159,0.00399201596806387
"prev_iform_success",0.000954830313007304,0.0012776303121151,0.003548458638279
"spread_line",0.000947530315234447,0.000537707256604336,0.00465735196274118
"starter_LB4_zone_grades_coverage_defense_12w",0.000932824819598342,0.00110065441029182,0.003548458638279
"starter_DL1_grades_run_defense_12w",0.000894649804277695,0.00113704757371154,0.00443557329784875
"prev_stop_rate_pass",0.000872974412508645,0.00049143463707979,0.003548458638279
"starter_S3_man_grades_coverage_defense_12w",0.000853771785368857,0.00100964832109696,0.00332667997338656
"starter_LB2_man_grades_coverage_defense_12w",0.00084872093498532,0.00113051243210208,0.003548458638279
"starter_S1_zone_grades_coverage_defense_12w",0.000822137328239083,0.000495583747580235,0.003548458638279
"starter_LB3_zone_grades_coverage_defense_12w",0.000769526160176377,0.000635606212031157,0.00332667997338656
"starter_TE1_grades_offense_12w",0.000767535259827661,0.000339540081225121,0.003548458638279
"starter_LB1_zone_grades_coverage_defense_12w",0.000766578868847074,0.000804427534086838,0.00332667997338656
"prev_empty_success",0.000732578310453389,0.000656965095157778,0.00266134397870925
"overall_win_pct",0.000661287496827058,0.00102554124175873,0.00243956531381681
"starter_S2_grades_run_defense_12w",0.000651543010954681,0.00055116525299935,0.00243956531381681
"starter_CB3_man_grades_coverage_defense_12w",0.000606513129497867,0.000440395441048248,0.00288312264360169
"prev_shotgun_rate",0.000605354955053468,0.000282102717568628,0.00243956531381681
"wind",0.000601154861336092,0.000233510640961428,0.00310490130849412
"starter_DL4_grades_pass_rush_defense_12w",0.000566083553085212,0.000358882445110973,0.00266134397870925
"starter_WR3_grades_offense_12w",0.000564330989878786,0.000227088279944267,0.00243956531381681
"starter_LB4_man_grades_coverage_defense_12w",0.000535051896090237,0.0008583075126054,0.00199600798403194
"winning_score_diff",0.000519511303258554,0.000535100615516584,0.00221778664892437
"season_2021",0.000518743541786489,0.00326076514723527,0.00110889332446219
"starter_DL2_grades_run_defense_12w",0.000513046492163964,0.00052550129638808,0.0017742293191395
"attendance_pct",0.000504165827430349,0.000259440148184064,0.00221778664892437
"prevent_rate",0.000496905112557986,0.000667188041168292,0.00221778664892437
"yardline_11_20",0.000458545002295036,0.000348644167241441,0.00199600798403194
"starter_CB3_zone_grades_coverage_defense_12w",0.000430078277099045,0.000467759855549719,0.00155245065424706
"down1_pct",0.0003562213460281,6.43660558012193e-05,0.0017742293191395
"attendance_raw",0.000353815402596889,0.00020033968573604,0.0017742293191395
"defteam_timeouts_remaining",0.00032466798258528,0.00108154781945262,0.00110889332446219
"prev_win_pct",0.000305292072218142,0.000171046326447233,0.00110889332446219
"cover6_rate",0.000285377140502828,0.00039547914247563,0.00133067198935462
"season_2018",0.000274102187458251,0.00261833808651176,0.000665335994677312
"roof_outdoors",0.000191557493960615,0.000343297821408779,0.000665335994677312
"is_winning",0.000159866013987243,3.14966810558859e-05,0.000665335994677312
"prep_days",0.000144317826312327,5.65867057006587e-05,0.000887114659569749
"Mike_McCarthy",9.10722371695791e-05,4.393227102574e-05,0.000221778664892437
"posteam_type_home",5.43476411631073e-05,2.82659418776138e-05,0.000443557329784875
"defteam_prev_game_off_4th_success",5.13366213811946e-05,1.15633373015828e-05,0.000443557329784875
"season_2023",4.75082051981329e-05,9.47702381659209e-06,0.000221778664892437
"season_2019",2.74640744614978e-05,3.3041059478434e-06,0.000221778664892437
