"Feature","Gain","Cover","Frequency"
"starter_DL1_grades_defense_12w",0.0050827258254113,0.00330213702392171,0.0115942028985507
"cover6_rate",0.00496074702312831,0.00738375888993976,0.00772946859903382
"starter_OL3_grades_pass_block_12w",0.00478376630885857,0.00456348505392804,0.00966183574879227
"starter_LB2_grades_defense_12w",0.00478216441159155,0.00484986459593683,0.00772946859903382
"prev_stop_rate_pass",0.00477519653977729,0.00922764005611156,0.00869565217391304
"down4_pct",0.00473530521570424,0.0024074827237581,0.0106280193236715
"prev_singleback_rate",0.00469671613407481,0.00234807165813994,0.00772946859903382
"starter_OL4_grades_pass_block_12w",0.00463653934477852,0.00974130712099158,0.00772946859903382
"starter_WR3_grades_run_block_12w",0.0045196838325226,0.0051148936813287,0.00869565217391304
"spread_line",0.00446704865533867,0.006077573302087,0.00772946859903382
"def_stop_rate_pass",0.00423063356005518,0.00173246961455334,0.00676328502415459
"attendance_pct",0.00401660420526915,0.00535861098240433,0.00579710144927536
"starter_OL1_grades_run_block_12w",0.00393037987559,0.003787795303185,0.00676328502415459
"starter_RB_grades_pass_block_12w",0.00392450475699402,0.0016376005113999,0.00676328502415459
"starter_QB_short_grades_pass_12w",0.00370707781892587,0.00314747199138853,0.00579710144927536
"starter_QB_medium_grades_pass_12w",0.00341254650984204,0.0038161558579983,0.00579710144927536
"starter_OL2_grades_run_block_12w",0.00322247810200913,0.00800975560173036,0.00579710144927536
"prev_empty_success",0.00317287356552417,0.00387096268874124,0.00483091787439614
"starter_S2_grades_defense_12w",0.00315723140430848,0.000573415397582003,0.00579710144927536
"defteam_timeouts_remaining",0.00300844785005296,0.00301895278075663,0.00483091787439614
"cover4_rate",0.00299523163686866,0.00441427913722455,0.00483091787439614
"starter_RB_grades_run_12w",0.00295919320991869,0.00241641955778117,0.00579710144927536
"starter_WR2_short_grades_pass_route_12w",0.00290714612775494,0.00300805871928518,0.00676328502415459
"shotgun_rate",0.00281325592790043,0.00176870444474362,0.00483091787439614
"attendance_raw",0.00281224033131333,0.00264051271143131,0.00579710144927536
"overall_win_pct",0.00272358377341189,0.00341480505346324,0.00483091787439614
"starter_DL2_grades_defense_12w",0.00269670949075429,0.00493688954348593,0.00579710144927536
"starter_WR1_grades_run_block_12w",0.00246689644616457,0.00133594252879231,0.00483091787439614
"cover1_rate",0.00234329937325968,0.00301260866419984,0.00386473429951691
"starter_WR2_grades_run_block_12w",0.00225717104078444,0.00295531490704392,0.00386473429951691
"temp",0.00210675957132812,0.00298755514886826,0.00386473429951691
"starter_RB_short_grades_pass_route_12w",0.00208263444224122,0.00149005620215401,0.00386473429951691
"starter_LB4_grades_defense_12w",0.00205691033169022,0.000925864520133293,0.00386473429951691
"starter_WR1_short_grades_pass_route_12w",0.00203803992805444,0.00232543571937444,0.00386473429951691
"def_stop_rate_run",0.00201151150448194,0.000893018908063687,0.00386473429951691
"season_2019",0.00199448231824535,0.0012913954780123,0.00289855072463768
"down3_pct",0.00189406655145065,0.00304992817805439,0.00289855072463768
"prev_win_pct",0.00188231137982298,0.00241146299593581,0.00289855072463768
"starter_S3_grades_defense_12w",0.00184366173920978,0.00229164133446651,0.00289855072463768
"starter_TE1_grades_run_block_12w",0.00177156593259083,0.00144909721577149,0.00289855072463768
"starter_LB3_grades_defense_12w",0.00167442393960032,0.000356777143307771,0.00386473429951691
"starter_WR3_medium_grades_pass_route_12w",0.00165853494445263,0.000442590629908822,0.00386473429951691
"losing_score_diff",0.00164246449664616,0.00221865034172485,0.00289855072463768
"starter_CB2_grades_defense_12w",0.00150375021919787,0.000426681393886298,0.00289855072463768
